sample,elapsed_s,mark,calibratorCalibrated,ikCalibrated,trackingAssigned,mappingCalibrated,simulatedInput,dataSource,leftAvailable,rightAvailable,leftFallback,rightFallback,leftValgus_deg,rightValgus_deg,leftFlex_deg,rightFlex_deg,swayRMS_mm,swayVelocity_mps,symmetry_pct,leftReach_pct,rightReach_pct,pelvis_x,pelvis_y,pelvis_z,leftKnee_x,leftKnee_y,leftKnee_z,rightKnee_x,rightKnee_y,rightKnee_z,leftAnkle_x,leftAnkle_y,leftAnkle_z,rightAnkle_x,rightAnkle_y,rightAnkle_z
0,0.292,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.229,-0.230,6.497,6.483,0.001,0.000,0.217,0.047,0.000,1.553,0.123,1.988,1.651,-0.407,1.971,1.455,-0.407,1.972,1.650,-0.870,2.001,1.457,-0.870,2.000
1,0.400,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.210,-0.265,6.554,6.533,0.432,0.009,0.326,0.062,0.000,1.552,0.122,1.990,1.651,-0.407,1.972,1.455,-0.407,1.973,1.650,-0.870,2.001,1.457,-0.870,2.000
2,0.501,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.228,-0.226,6.566,6.535,0.704,0.007,0.479,0.046,0.000,1.551,0.123,1.990,1.651,-0.406,1.972,1.455,-0.406,1.973,1.651,-0.869,2.001,1.458,-0.869,2.000
3,0.612,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.199,-0.224,6.569,6.498,0.937,0.000,1.093,0.113,0.000,1.551,0.124,1.990,1.651,-0.405,1.972,1.455,-0.405,1.973,1.651,-0.868,2.001,1.458,-0.868,2.000
4,0.713,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.191,-0.226,6.573,6.476,1.110,0.002,1.479,0.151,0.000,1.551,0.124,1.991,1.651,-0.405,1.972,1.455,-0.405,1.973,1.651,-0.868,2.001,1.458,-0.868,2.000
5,0.835,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.170,-0.270,6.564,6.434,1.247,0.003,2.010,0.230,0.000,1.552,0.125,1.991,1.651,-0.405,1.972,1.455,-0.405,1.973,1.651,-0.868,2.001,1.458,-0.868,1.999
6,0.936,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.138,-0.330,6.547,6.423,1.300,0.004,1.910,0.218,0.000,1.552,0.125,1.990,1.651,-0.405,1.972,1.455,-0.404,1.973,1.651,-0.868,2.001,1.458,-0.868,1.999
7,1.036,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.112,-0.353,6.524,6.440,1.308,0.007,1.291,0.144,0.000,1.553,0.125,1.990,1.651,-0.404,1.972,1.455,-0.404,1.973,1.651,-0.867,2.001,1.458,-0.867,2.000
8,1.158,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.136,-0.353,6.515,6.439,1.289,0.008,1.163,0.121,0.000,1.553,0.126,1.989,1.651,-0.403,1.971,1.455,-0.403,1.972,1.651,-0.866,2.001,1.458,-0.866,2.000
9,1.259,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.127,-0.351,6.481,6.449,1.283,0.011,0.495,0.078,0.000,1.553,0.128,1.988,1.652,-0.402,1.971,1.455,-0.402,1.972,1.651,-0.865,2.001,1.458,-0.865,2.000
10,1.381,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.144,-0.333,6.449,6.475,1.332,0.010,0.406,0.023,0.000,1.553,0.129,1.987,1.651,-0.401,1.970,1.455,-0.401,1.971,1.651,-0.864,2.000,1.458,-0.864,2.000
11,1.482,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.199,-0.250,6.443,6.482,1.405,0.004,0.602,0.011,0.000,1.552,0.129,1.987,1.651,-0.401,1.970,1.455,-0.401,1.971,1.651,-0.864,2.000,1.457,-0.864,2.000
12,1.604,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.262,-0.186,6.480,6.486,1.534,0.020,0.095,0.032,0.000,1.551,0.127,1.987,1.650,-0.402,1.970,1.454,-0.402,1.971,1.650,-0.865,2.001,1.457,-0.865,2.000
13,1.726,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.249,-0.191,6.471,6.473,1.615,0.000,0.037,0.009,0.000,1.551,0.126,1.987,1.650,-0.403,1.970,1.454,-0.403,1.971,1.650,-0.866,2.000,1.457,-0.866,2.000
14,1.837,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.221,-0.214,6.502,6.501,1.637,0.011,0.015,0.002,0.000,1.551,0.124,1.988,1.651,-0.405,1.971,1.454,-0.405,1.972,1.650,-0.868,2.000,1.457,-0.868,2.000
15,1.939,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.215,-0.247,6.520,6.508,1.625,0.006,0.179,0.018,0.000,1.552,0.123,1.988,1.651,-0.406,1.971,1.455,-0.406,1.972,1.650,-0.869,2.000,1.457,-0.869,2.000
16,2.060,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.256,-0.339,8.290,8.118,1.595,0.011,2.101,0.000,0.057,1.552,0.120,1.990,1.651,-0.409,1.961,1.454,-0.409,1.963,1.651,-0.871,1.993,1.457,-0.871,1.994
17,2.161,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.323,-0.427,10.363,10.172,1.610,0.007,1.855,0.000,0.119,1.552,0.118,1.991,1.652,-0.410,1.948,1.454,-0.410,1.951,1.651,-0.873,1.984,1.457,-0.873,1.985
18,2.262,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.336,-0.485,11.198,10.939,1.692,0.020,2.332,0.000,0.108,1.552,0.116,1.992,1.652,-0.411,1.944,1.454,-0.411,1.946,1.652,-0.873,1.981,1.457,-0.873,1.982
19,2.372,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.341,-0.463,11.195,10.910,1.808,0.014,2.580,0.000,0.150,1.552,0.116,1.992,1.652,-0.411,1.944,1.454,-0.410,1.947,1.651,-0.873,1.981,1.457,-0.873,1.982
20,2.473,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.317,-0.480,10.998,10.718,1.974,0.011,2.574,0.000,0.058,1.553,0.117,1.993,1.652,-0.410,1.946,1.454,-0.410,1.948,1.651,-0.873,1.982,1.458,-0.873,1.983
21,2.595,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.267,-0.479,10.263,9.968,2.231,0.008,2.910,0.020,0.000,1.553,0.118,1.994,1.652,-0.410,1.951,1.455,-0.410,1.953,1.651,-0.872,1.986,1.458,-0.872,1.986
22,2.696,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.202,-0.439,9.193,8.877,2.466,0.009,3.491,0.025,0.000,1.553,0.119,1.994,1.652,-0.409,1.957,1.455,-0.409,1.960,1.652,-0.872,1.990,1.458,-0.872,1.990
